station_id,timestamp_hour,utilization_rate,pred_historical_average,pred_ridge_regression,pred_random_forest,pred_gradient_boosting,predicted_utilization,best_model,recommended_tariff_per_kwh,tariff_reason,baseline_tariff_per_kwh,tariff_change_pct
ST-004,2024-04-05 03:00:00,0.25,0.2756903263058541,0.23495243078347283,0.25,0.2500423596128195,0.2500423596128195,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-015,2024-04-05 03:00:00,0.1785214920259722,0.2756903263058541,0.23022577860783028,0.17950709094184483,0.1891255236690095,0.1891255236690095,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-003,2024-04-05 03:00:00,0.25,0.2756903263058541,0.24191040499954497,0.25,0.2502495979531665,0.2502495979531665,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-014,2024-04-05 03:00:00,0.25,0.2756903263058541,0.23722063645868166,0.25,0.2502495979531665,0.2502495979531665,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-011,2024-04-05 03:00:00,0.25,0.2756903263058541,0.24715445816642884,0.25,0.2502495979531665,0.2502495979531665,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-011,2024-04-05 04:00:00,0.25,0.2888833497546655,0.24100130196230868,0.25,0.2501628497401546,0.2501628497401546,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-008,2024-04-05 04:00:00,0.5,0.2888833497546655,0.4986680568497405,0.49745898448990644,0.49525770315936496,0.49525770315936496,gradient_boosting,0.5744,optimized_balanced_pricing,0.35,0.6411428571428572
ST-004,2024-04-05 04:00:00,0.25,0.2888833497546655,0.2355148823228152,0.25,0.2502495979531665,0.2502495979531665,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-015,2024-04-05 04:00:00,0.25,0.2888833497546655,0.25095839746294224,0.25,0.2503075412064749,0.2503075412064749,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-001,2024-04-05 05:00:00,0.5,0.28885664485850937,0.4859746122288872,0.49757345059017544,0.494987739965152,0.494987739965152,gradient_boosting,0.5739,optimized_balanced_pricing,0.35,0.6397142857142857
ST-013,2024-04-05 05:00:00,0.5,0.28885664485850937,0.46847479567447226,0.4724518059634686,0.4664477479234785,0.4664477479234785,gradient_boosting,0.5162,optimized_balanced_pricing,0.35,0.47485714285714287
ST-005,2024-04-05 05:00:00,0.2101986548989583,0.28885664485850937,0.2307682170209167,0.20039850548122518,0.19891064074525142,0.19891064074525142,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-014,2024-04-05 05:00:00,0.15018147729319445,0.28885664485850937,0.22952393725836878,0.17399957474612746,0.15466117460877976,0.15466117460877976,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-007,2024-04-05 05:00:00,0.5,0.28885664485850937,0.4784861861839933,0.49212999125995965,0.4938239068290935,0.4938239068290935,gradient_boosting,0.5717,optimized_balanced_pricing,0.35,0.6334285714285715
ST-004,2024-04-05 05:00:00,0.25,0.28885664485850937,0.23374993850806788,0.25,0.2501628497401546,0.2501628497401546,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-014,2024-04-05 06:00:00,0.37607847505847225,0.25441876064796365,0.4739298916893206,0.48608104970700633,0.4876196502757068,0.4876196502757068,gradient_boosting,0.5596,optimized_balanced_pricing,0.35,0.598857142857143
ST-013,2024-04-05 06:00:00,0.25,0.25441876064796365,0.23367968132678021,0.23724207165109037,0.24945809935951438,0.24945809935951438,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-018,2024-04-05 06:00:00,0.25,0.25441876064796365,0.23489036066376345,0.25,0.25033786654753787,0.25033786654753787,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-008,2024-04-05 06:00:00,0.25,0.25441876064796365,0.2360170215432482,0.25,0.25039629672757485,0.25039629672757485,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-009,2024-04-05 06:00:00,0.25,0.25441876064796365,0.2359974142685357,0.25,0.2500360422006034,0.2500360422006034,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-016,2024-04-05 06:00:00,0.25,0.25441876064796365,0.23227666765427032,0.25,0.25016916715237075,0.25016916715237075,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-003,2024-04-05 07:00:00,0.25,0.30126501635434527,0.2537099355136327,0.25,0.25060264443775826,0.25060264443775826,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-015,2024-04-05 07:00:00,0.25,0.30126501635434527,0.24995903618637286,0.25,0.2506089618499744,0.2506089618499744,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
ST-017,2024-04-05 07:00:00,0.25,0.30126501635434527,0.23921838550092506,0.25,0.2507493432121667,0.2507493432121667,gradient_boosting,0.2,optimized_offpeak_growth,0.35,-0.4285714285714285
